geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8759443207, 2.40698934293;"{""type"": ""Point"", ""coordinates"": [2.40698934293179, 48.87594432074237]}";393;20;20/153;;BOULEVARD MORTIER;605168.544468;130613.496409;24 h / 24
48.863547401, 2.34247230415;"{""type"": ""Point"", ""coordinates"": [2.342472304145377, 48.86354740100726]}";3;01;1/107;9;RUE COQUILLIERE;600436.407921;129232.548445;6 h - 1 h
48.8579704354, 2.34653567272;"{""type"": ""Point"", ""coordinates"": [2.346535672716451, 48.85797043543068]}";5;01;1/114;17;AVENUE VICTORIA;600734.603188;128612.417751;24 h / 24
48.8600598633, 2.36070068743;"{""type"": ""Point"", ""coordinates"": [2.360700687430824, 48.86005986333013]}";24;03;3/102;2;RUE DES QUATRE FILS;601773.890142;128845.000351;6 h - 22 h
48.85415067, 2.35602360649;"{""type"": ""Point"", ""coordinates"": [2.35602360649244, 48.85415067004832]}";34;04;4/105;;QUAI DE L HOTEL DE VILLE;601430.888813;128187.794007;24 h / 24
48.8476830944, 2.3279690909;"{""type"": ""Point"", ""coordinates"": [2.3279690908977653, 48.84768309439912]}";58;06;6/115;85;BOULEVARD RASPAIL;599372.140607;127468.443588;6 h - 22 h
48.8694709544, 2.31276020043;"{""type"": ""Point"", ""coordinates"": [2.31276020043019, 48.86947095440106]}";76;08;8/111;opposé au 44;AVENUE GABRIEL;598256.734261;129891.507457;24 h / 24
48.8773676992, 2.37097100542;"{""type"": ""Point"", ""coordinates"": [2.370971005417437, 48.877367699186436]}";102;10;10/112;118;BOULEVARD DE LA VILLETTE;602526.577402;130769.937657;6 h - 22 h
48.8770143095, 2.36399050058;"{""type"": ""Point"", ""coordinates"": [2.363990500584436, 48.87701430954486]}";108;10;10/119;;RUE ROBERT BLACHE;602014.595713;130730.429604;6 h - 1 h
48.8781474157, 2.3616456863;"{""type"": ""Point"", ""coordinates"": [2.361645686297735, 48.87814741574719]}";109;10;10/120;face 182;RUE DU FAUBOURG SAINT MARTIN;601842.569254;130856.371627;6 h - 1 h
48.8745920335, 2.36273382814;"{""type"": ""Point"", ""coordinates"": [2.362733828139361, 48.87459203348893]}";113;10;10/124;105;QUAI DE VALMY;601922.514362;130461.037966;6 h - 22 h
48.8700278994, 2.36659750587;"{""type"": ""Point"", ""coordinates"": [2.366597505870816, 48.87002789940877]}";120;10;10/143;face 50;QUAI DE JEMMAPES;602206.116711;129953.609099;24 h / 24
48.8680291958, 2.36532029262;"{""type"": ""Point"", ""coordinates"": [2.365320292619293, 48.868029195806606]}";121;10;10/145;;RUE DU FAUBOURG DU TEMPLE;602112.507211;129731.315266;24 h / 24
